Toimittaja;Osto
VRJ ETELÄ-SUOMI OY;754.0
VRJ POHJOIS-SUOMI OY;126621.22
VUOKILA WOOD OY;2034.0
VUOKRAUKKO OY;1100.0
VWR INTERNATIONAL OY;15432.56
VÄRISET UUSIMAA OY;784.0
WALKI MEDICAL OY;3022.23
WDC GROUP OY;960.0
WEBROPOL OY;13364.0
WELDTEC OY;582.95
WELLA FINLAND OY;1343.91
WESTPORT FINLAND OY;20853.04
WETTERI OY;13359.18
WETTERI POWER OY;33654.979999999996
WETTERI POWER OY / KOULKORV;1152.0
WETTERI YHTIÖT OY;1566.0
WIHELÄN KONEPAJA OY;1130.0
WIHURI OY;4058.2000000000003
WIHURI OY AARNIO;5538.92
WIKLÖF HOTEL SERVICES OY AB;117.00999999999999
WIKMANS AUTOSERVICE OY AB;253.22
WILHELMIINA PALVELUT OY;1296.0
WILLA PUCK SP. Z. O. O.;8300.0
WILLAN HOUSE OY;700.0
WINFRA OY;1476.0
WINNOVA / LÄNSIRANNIKON;3570.0
WITRE OY;649.0
WOODIM FINLAND OY;8828.71
WORKER ETELÄ-SUOMI OY;738.0
WORKER OULU OY OULU;940.0
WORKER POHJOIS-SUOMI OY;2260.0
WORKSEED OY;-200.0
WOYZECK OY;250.0
WSP FINLAND OY;25957.29
WULFF OY AB;3477.94
WURTH ELEKTRONIK;72.46
WURTH OY;133564.03
WÄRTSILÄ FINLAND OY;350.0
XARXA FP;800.0
XPRESS-SERVICE OY;4544.0
XXL SPORTS & OUTDOOR OY;300.0
Y-L SERVICE OY;662.0
YIT BUSINESS PREMISES OY;297364.64
YIT HOUSING OY;904.0
YKKÖS- JA ONNIKODIT OY HELSINK;400.0
YKSITYISHENKILÖ;1081302.39
YLEISELEKTRONIIKKA OYJ;10004.82
YLI-IIN PUU JA TURVE AVOINYHTI;5845.83
YLIPÄÄN KONEURAKOINTI OY;492.0
YLÄ-KAINUUN KONEJA VARAOSA OY;160.0
YMPÄRISTÖKUSTANNUS OY;289.09000000000003
YRITTÄJIEN KOULUTUSKESKUS OY;290.0
Yksityinen elinkeinoharjoittaja;135161.16
YÖPUU YHTIÖ OY;286.77
ZABALA INNOVATION CONSULTING S;3443.01
ZEF OY;2999.0
ZEMPPI AREENA OY;83684.0
ZESPOL SZKOL LICEALNYCH ITECHN;14000.0
ZONER OY;58.56
pohjois-suomen peltikate oy;2214.0
ÄIMÄN LOUNAS- JA CATERING PALV;1203.32
ÄMMÄN LEIPÄ OY;2472.86
ÄÄNEKOSKEN AMMATILLISEN KOULUT;50.0
