Toimittaja;Osto
HOIVAHOITO ILLIKAINEN OY ALINA;1896.0
HOIVAKOTI SUVANTO OY PÄÄTOIMIP;1080.0
HOIVAKYMPPI OY;356.0
HOIVAPALVELUT YSTÄVYYDELLÄ OY;2240.0
HOIVATIE OY;6712.0
HOLIDAY CLUB RESORTS OY;130.64
HOLSTINMÄEN AUTOHUOLTO OY;1620.0
HOLSTINMÄEN AUTOLASI OY;645.17
HOMEMAP OY;420.0
HONGISTO OY;3178.55
HONKAJOKI OY;740.2
HOSMED OY;1972.21
HOSTEL IM MEDIZINERVIERTEL;2574.0
HOSTINGPALVELU / PLANEETTA INT;1101.43
HOTEL HYVINKÄÄ OY;120.92
HOTEL SANTA CLAUS OY;2318.67
HOTELLI HERKKO;195.79000000000002
HOTELLI ISO-SYÖTE /;1871.85
HOVILAN PALVELUYHDISTYS RY;636.0
HOWSPACE OY;8000.0
HUHTALAN AUTO JA VARAOSA AY;88.71
HULKSEN AVOIN YHTIÖ;678.76
HUMANA HOIVA OY;448.0
HUMANA UULA OY;910.0
HUOLTAMO JA KAHVIO KJELLMAN KY;838.0
HUOLTIA OY OULU;702.0
HUOVISEN LEIPOMO MAIKKULA;8993.0
HUSKY WORLD OY;648.0
HUUMOLA NATURE OY;276.0
HUVIVUOKRA OY;304.62
HVM ENERGY OY;1400.0
HYDRO-KEMI HK OY;335.1
HYDROSCAND OY;53.37
HYXO OY;1835.85
HYÖTYKASVIYHDISTYS RY;124.50999999999999
HÄMEEN AMMATTIKORKEAKOULU OY;5352.25
HÄMEEN VALTATIERAVINTOLAT OY;230.19
HÄTÄKESKUSLAITOS;1392.48
HÄTÄLÄ OY / KOULKORV;2344.0
HÄTÄLÄ OY/II;53371.12
IDHAIR FINLAND OY;4127.0
IHME-3D OY;432.0
IIN AUTOMAALAAMO OY;2174.0
IIN HERKUTTELUHETKI OY;105.79
IIN JÄTEHUOLTO PAAKKOLA OY;492.0
IIN KONEPAJA OY;960.0
IIN KUNTA;1490.0
IIN KUNTA IIN VESILIIKELAITOS;150.0
IIN METSÄTYÖ OY;2952.0
IIN TAKSIKYYTI OY;201.27
IIN VUOKRATALOT OY;550.0
IIROCO OY;383.65999999999997
IISITEC OY;2712.0
IISY OY;16061.93
IKH RETAIL OY;7251.17
ILECTRIC OY;452.0
ILONA IT OY;3000.0
IMAGE WEAR OY/OP YRITYSPANKKI;45992.62
IMI HYDRONIC ENGINEERING OY;930.0
IMPORT JL-TEC OY/VUOKON KUKAN;160.0
INCAR OY;3616.0
INF COMPANY AB;170.7
INFRAKIT GROUP OY;140.0
INNOKAS MEDICAL OY;648.0
INSINÖÖRITOIMISTO REITEK OY;55.44
INSIRA OY;385.68
INSPECTA OY;250.0
INSPECTA SERTIFIOINTI OY;823.0
INSPECTA TARKASTUS OY;6620.51
INSPECTOR SEC OY / TRUST;20940.04
INSTITUT D'EDUCACIO SECUNDARIA;14000.0
INSTRU OPTIIKKA OY;1421.21
INTERRENT OY;955.39
INTERSPORT FINLAND OY;500.0
INTRUM OY;13.52
INVALIDISÄÄTIÖ;2000.0
INVERA OY;4528.0
INVIAN OY OULU;770.0
IS-VET OY / LÄHIRAHOITUS OY;348.07
ISCAR FINLAND OY;3585.5
ISKU INTERIOR OY/ SVEA;67286.92
ISLACAT EDU OY;150.0
ISOPROTO OY;1379.3
ISS PALVELUT OY;2644402.27
ISS PALVELUT OY / KORKO / KOUL;4662.0
ISTEKKI OY;70.0
ITR FINLAND OY;373.6
ITÄ-UUDENMAAN HYVINVOINTIALUA;216.0
IVALON TAIMITUPA KOMMANDIITTIY;200.0
J&M ORJASNIEMI AVOINYHTIÖ;1176.0
J.T URAKOINTI OY;3444.0
JAMIX OY;11982.4
JANLA OY;1885.0
JANNIS OY;246.0
JARKIMO OY;30042.43
JENIRA CONSULTING OY;8150.0
JEPERTON OY PUDASJÄRVI;648.0
JET-RASILA OY;400.0
JH-KONEMARKKINOINTI OY;2165.02
JHP-LAATOITUS OY;1598.0
JIMM´S PC-STORE OY;294.88
JJ-NET GROUP OY;665.0
JK TÄHTI RAKENNUS OY;1130.0
JL MACHINE OY;3438.43
JL MONITYÖ OY;2420.0
JMC ENGINE OY;1436.0
JMC TERÄSPALVELU OY;494.43
JMK INFRA OY;492.0
JOENSUUN KUSTANNUS OY /;5248.0
JOHN DEERE FORESTRY OY;77215.88
JOKI ICT OY;560.0
JOKILAAKERI OY;918.42
JOKILAAKSOJEN KOULUTUSKUNTAYHT;320.0
JOLLAS89 KOKOUS- JA JUHLATALO;201.49
JOUKO PELTONIEMI OY;80.0
JOUSTAVA MIELI OY;4102.0
JP AUTOMAALAAMO OY;1155.3799999999999
JP SAMPEC OY;200.0
JP-MATIC OY;426775.66
JPJ-PALVELUT OY;936.0
JR-AUTOCENTER OY;1200.0
JS MATKAT OY;820.0
JS-AUTOMOTO OY;2182.0
JSA-SYSTEMS OY;1130.0
JTE-SIJOITUS OY;1914.0
JTS PIPE OY;694.0
JUHAN AUTO OY;11110.15
JUHAN AUTOMAALAAMO OY;1224.0
JUKO RY / ROPO;192.0
